revision_id,product_code,effective_date,price
1,1,2025-01-09,250
2,2,2025-01-09,250
3,3,2025-01-09,250
4,4,2025-01-09,250
5,5,2025-01-09,250
6,6,2025-01-09,250
7,7,2025-01-09,250
8,8,2025-01-09,250
9,9,2025-01-09,
10,10,2025-01-09,100
11,11,2025-01-09,100
12,12,2025-07-09,
13,13,2025-07-09,170
14,14,2025-07-09,70
15,15,2025-07-09,250
16,16,2025-07-09,50
17,17,2025-07-09,60
18,18,2025-07-09,60
19,19,2025-07-09,
20,20,2025-07-09,250
21,21,2025-07-09,250
22,22,2025-10-03,100
23,23,2025-10-03,100
24,24,2025-10-03,150
25,25,2025-10-03,150
26,26,2025-10-03,250
27,27,2025-10-03,250
28,28,2025-10-03,250
29,29,2025-10-03,250
30,30,2025-10-03,
31,31,2025-10-03,
32,32,2025-10-03,
33,33,2025-12-05,200
34,34,2025-12-05,250
35,35,2025-12-05,250
36,36,2025-12-05,150
37,37,2025-12-05,100
38,38,2026-05-12,100
39,39,2026-05-12,250
40,40,2026-05-12,
41,41,2026-05-12,50
42,42,2026-05-12,100
43,43,2026-05-12,
44,44,2026-05-12,100
45,45,2026-05-12,200
46,46,2026-05-12,200
47,47,2026-05-12,200
48,48,2026-05-12,200
